Tahun,Ekspor_Volume_Ton,Ekspor_Pertumb,Ekspor_Nilai_000USD,Ekspor_Nilai_Pertumb,Impor_Volume_Ton,Impor_Pertumb,Impor_Nilai_000USD,Impor_Nilai_Pertumb,Neraca_000USD
2010,16291856,-3.19,13468966,29.91,46720,121.01,37801,186.57,13431165
2011,16436202,0.89,17261247,28.16,23299,-50.13,24939,-34.03,17236308
2012,18850836,14.69,17602180,1.98,616,-97.36,832,-96.66,17601348
2013,20577976,9.16,15838850,-10.02,65561,10543.02,46979,5546.51,15791871
2014,22892387,11.25,17464905,10.27,299,-99.54,393,-99.16,17464512
2015,26467564,15.62,15385275,-11.91,7572,2432.44,4623,1076.34,15380652
2016,22761814,-14.00,14366754,-6.62,2658,-64.89,4116,-10.96,14362638
2017,27353714,20.17,18513463,28.86,2518,-5.28,1812,-55.98,18511651
2018,27898875,1.99,16530213,-10.71,806,-67.99,915,-49.50,16529298
2019,28279350,1.36,14716275,-10.97,93285,11473.82,45529,4875.85,14670746
2020,25935554,-8.29,17364144,17.99,1753,-98.12,1894,-95.84,17362250
2021,25635068,-1.16,26766373,54.15,872,-50.26,1556,-17.85,26764817
2022,24990433,-2.51,27738669,3.63,486,-44.27,1725,10.86,27736944
2023,26129943,4.56,22685413,-18.22,757,55.67,1274,-26.16,22684139
