Tahun,Provinsi,Luas_Area_Negara,Produksi_Negara,Produktivitas_Negara,Luas_Area_Swasta,Produksi_Swasta,Produktivitas_Swasta,Luas_Area_Rakyat,Produksi_Rakyat,Produktivitas_Rakyat,Total_Area,Total_Produksi,Produktivitas_Total,Pangsa_Produksi_Nasional_Persen
2010,Aceh,38775,49870,1.29,135664,344168,2.54,150053,222472,1.48,324492,616510,1.90,2.74
2010,Bali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Bangka Belitung,0,0,0.00,133147,440517,3.31,42656,49663,1.16,175803,490180,2.79,2.18
2010,Banten,9312,16614,1.78,47,68,1.45,6867,9287,1.35,16226,25969,1.60,0.12
2010,Bengkulu,4386,13624,3.11,88061,320651,3.64,205324,461718,2.25,297771,795993,2.67,3.54
2010,D.I. Yogyakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,DKI Jakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Gorontalo,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Jambi,23609,80459,3.41,214028,654135,3.06,306049,909492,2.97,543686,1644086,3.02,7.31
2010,Jawa Barat,4445,12022,2.70,4605,4352,0.95,5,0,0.00,9055,16374,1.81,0.07
2010,Jawa Tengah,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Jawa Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Kalimantan Barat,60206,189494,3.15,378164,817176,2.16,228440,420206,1.84,666810,1426876,2.14,6.34
2010,Kalimantan Selatan,10613,18574,1.75,361046,930395,2.58,56060,100250,1.79,427719,1049219,2.45,4.66
2010,Kalimantan Tengah,0,0,0.00,814780,1506411,1.85,134511,218257,1.62,949291,1724668,1.82,7.67
2010,Kalimantan Timur,41869,131389,3.14,384740,397157,1.03,115785,171415,1.48,542394,699961,1.29,3.11
2010,Kepulauan Riau,0,0,0.00,5844,11818,2.02,2644,2233,0.84,8488,14051,1.66,0.06
2010,Lampung,11902,36322,3.05,49281,194410,3.94,80217,174991,2.18,141400,405723,2.87,1.80
2010,Maluku,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Maluku Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Nusa Tenggara Barat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Nusa Tenggara Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Papua,12079,24175,2.00,17595,61910,3.52,15521,50286,3.24,45195,136371,3.02,0.61
2010,Papua Barat,2807,7291,2.60,11665,25549,2.19,10915,33388,3.06,25387,66228,2.61,0.29
2010,Riau,75841,215056,2.84,648670,2386453,3.68,1055543,2894459,2.74,1780054,5495968,3.09,24.43
2010,Sulawesi Barat,0,0,0.00,41430,161579,3.90,53420,102772,1.92,94850,264351,2.79,1.18
2010,Sulawesi Selatan,5484,4616,0.84,2475,4844,1.96,10794,25458,2.36,18753,34918,1.86,0.16
2010,Sulawesi Tengah,3669,1990,0.54,43478,100187,2.30,17446,43662,2.50,64593,145839,2.26,0.65
2010,Sulawesi Tenggara,3769,2656,0.70,31563,12531,0.40,2499,0,0.00,37831,15187,0.40,0.07
2010,Sulawesi Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2010,Sumatera Barat,9084,23085,2.54,194306,541215,2.79,173767,421640,2.43,377157,985940,2.61,4.38
2010,Sumatera Selatan,45574,80804,1.77,495096,1465357,2.96,321606,996661,3.10,862276,2542822,2.95,11.30
2010,Sumatera Utara,295068,1013619,3.44,447393,1735605,3.88,397136,1150399,2.90,1139597,3899623,3.42,17.33
2011,Aceh,42352,79794,1.88,134520,341983,2.54,183371,196570,1.07,360243,618347,1.72,2.58
2011,Bali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Bangka Belitung,0,0,0.00,136763,432023,3.16,49352,72532,1.47,186115,504555,2.71,2.10
2011,Banten,7913,13103,1.66,53117,14844,0.28,6878,8611,1.25,21831,0,0.00,0.00
2011,Bengkulu,4386,15118,3.45,111301,329768,2.96,192450,464626,2.41,308137,809512,2.63,3.38
2011,D.I. Yogyakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,DKI Jakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Gorontalo,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Jambi,24273,85201,3.51,262920,805916,3.07,359791,882031,2.45,646984,1773148,2.74,7.40
2011,Jawa Barat,6811,15375,2.26,7135,8317,1.17,179,29,0.16,14125,23721,1.68,0.10
2011,Jawa Tengah,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Jawa Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2011,Kalimantan Barat,60206,200562,3.33,385081,871552,2.26,255235,436210,1.71,700522,1508324,2.15,6.29
